row_id,query_id,expected_anchor_key,h0h1,pair_level_status,pair_level_accepted,accepted_cache_key,accepted_candidate_rank,score,threshold,response_returned,judge_label_for_accepted_candidate,is_true_accept,is_false_accept,is_false_reject,is_true_reject,reason,final_decision_source,query_level_status,query_level_accepted,query_level_selected_candidate_key,query_level_selected_candidate_rank,query_level_selected_score,query_level_threshold,fallback_used
0,row:0,anchor:-1,-1,hit,True,anchor:-1,1,0.870070169282892,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
1,row:1,anchor:944,0,hit,True,anchor:944,1,1.0,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
2,row:2,anchor:-1,-1,hit,True,anchor:-1,1,0.6565067532069074,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
3,row:3,anchor:-1,-1,hit,True,anchor:-1,1,0.8760259051947321,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
4,row:4,anchor:309,0,hit,True,anchor:309,1,1.0000000000000002,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
5,row:5,anchor:-1,-1,hit,True,anchor:-1,1,0.8734967442361933,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
6,row:6,anchor:-1,-1,hit,True,anchor:-1,1,0.6738386210466093,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
7,row:7,anchor:-1,-1,hit,True,anchor:-1,1,0.8731539570829441,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
8,row:8,anchor:-1,-1,hit,True,anchor:-1,1,0.8731539570829441,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
9,row:9,anchor:266,0,hit,True,anchor:266,1,0.936276980812924,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
10,row:10,anchor:-1,-1,hit,True,anchor:-1,1,0.6010431804893601,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
11,row:11,anchor:266,0,hit,True,anchor:266,1,0.9362769852793171,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
12,row:12,anchor:-1,-1,hit,True,anchor:266,1,0.7362379758093388,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
13,row:13,anchor:1006,0,hit,True,anchor:1006,1,0.9705447842826017,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
14,row:14,anchor:1006,0,hit,True,anchor:1006,1,0.9705447821241129,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
15,row:15,anchor:-1,-1,hit,True,anchor:1006,1,0.7081903430575582,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
16,row:16,anchor:-1,-1,hit,True,anchor:1006,1,0.7376854935725596,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
17,row:17,anchor:-1,-1,hit,True,anchor:1006,1,0.7859478699569972,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
18,row:18,anchor:914,0,hit,True,anchor:914,1,0.993827986459269,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
19,row:19,anchor:914,0,hit,True,anchor:914,1,0.9938279852815274,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
20,row:20,anchor:278,0,hit,True,anchor:278,1,1.0,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
21,row:21,anchor:952,0,hit,True,anchor:952,1,1.0,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
22,row:22,anchor:-1,-1,hit,True,anchor:952,1,0.6851958381670901,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
23,row:23,anchor:290,1,hit,True,anchor:290,1,0.9999999999999998,0.0,True,reusable,True,False,False,False,,pair_level,,,,,,,
24,row:24,anchor:791,0,hit,True,anchor:791,1,0.9333487456314784,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
25,row:25,anchor:791,0,hit,True,anchor:791,1,0.9333487387957092,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
26,row:26,anchor:-1,-1,hit,True,anchor:-1,1,0.7885706829626355,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
27,row:27,anchor:-1,-1,hit,True,anchor:-1,1,0.796025268708854,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
28,row:28,anchor:580,0,hit,True,anchor:580,1,0.9251295552706532,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
29,row:29,anchor:580,0,hit,True,anchor:580,1,0.9251295558882383,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
30,row:30,anchor:976,0,hit,True,anchor:976,1,0.844247485817924,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
31,row:31,anchor:-1,-1,hit,True,anchor:976,1,0.6626233504073442,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
32,row:32,anchor:790,0,hit,True,anchor:790,1,1.0000000000000002,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
33,row:33,anchor:-1,-1,hit,True,anchor:-1,1,0.746725374548457,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
34,row:34,anchor:746,1,hit,True,anchor:746,1,1.0,0.0,True,reusable,True,False,False,False,,pair_level,,,,,,,
35,row:35,anchor:-1,-1,hit,True,anchor:-1,1,0.8780729631920007,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
36,row:36,anchor:-1,-1,hit,True,anchor:-1,1,0.6271027035314852,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
37,row:37,anchor:-1,-1,hit,True,anchor:-1,1,0.6666662764644768,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
38,row:38,anchor:-1,-1,hit,True,anchor:-1,1,0.6910496701654067,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
39,row:39,anchor:-1,-1,hit,True,anchor:-1,1,0.5211887408277665,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
40,row:40,anchor:750,0,hit,True,anchor:750,1,1.0000000000000002,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
41,row:41,anchor:243,1,hit,True,anchor:243,1,0.9999999999999998,0.0,True,reusable,True,False,False,False,,pair_level,,,,,,,
42,row:42,anchor:976,0,hit,True,anchor:976,1,0.9265975198535423,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
43,row:43,anchor:976,0,hit,True,anchor:976,1,0.8576576781453202,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
44,row:44,anchor:976,0,hit,True,anchor:976,1,0.8650272048231764,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
45,row:45,anchor:-1,-1,hit,True,anchor:976,1,0.8154732607516677,0.0,True,uncertain,False,False,False,False,,pair_level,,,,,,,
46,row:46,anchor:976,0,hit,True,anchor:976,1,0.8197177072203768,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
47,row:47,anchor:976,0,hit,True,anchor:976,1,0.7894208175363594,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
48,row:48,anchor:976,0,hit,True,anchor:976,1,0.9321453614359211,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
49,row:49,anchor:976,0,hit,True,anchor:976,1,0.9297646566458249,0.0,True,not_reusable,False,True,False,False,,pair_level,,,,,,,
